city,company,country,description,salary_converted_currency,salary_converted_max,salary_converted_min,salary_currency,salary_max,salary_min,salary_raw,title,url,year_posted
Western Sydney Local Health District,Western Sydney Local Health District,AU,"Employment Type: Temporary Full Time (up to 30/06/2024)
Position Classification: Medical Physics Registrar
Remuneration: $35.59 - $51.41 per hour
Hours Per Week: 38
Requisition ID: REQ205983

Where you'll be working

Western Sydney Local Health District (WSLHD) is responsible for providing primary and secondary health care for people living in the Auburn, Blacktown, and The Hills Shire, Holroyd and Parramatta Local Government Areas (LGAs) and tertiary care to residents of the Greater Western Region. We are committed to our vision of 'better health services for the people of western Sydney and beyond' and to the delivery of health care or related services in line with our core values of collaboration, openness, respect and empowerment.
What you'll be doing

To complete the training requirements of the ACPSEM TEAP to become a certified Medical Physics specialist. This will involve engaging in a range of clinical tasks that are only available within a hospital setting. If required, a research component will have to be undertaken.

The DIMP registrar will also assist Medical Physics Specialists to provide a high standard of clinical medical physics, radiation safety, instrumentation and computer support to the Department of Nuclear Medicine, PET and Ultrasound.

People with disabilities who meet the selection criteria are encouraged to apply; and where required, WSLHD will implement reasonable adjustment consistent with industry standard.

Stepping Up aims to assist Aboriginal job applicants by providing information about applying for roles in NSW Health organisations. For more information, please visit: http://www.steppingup.health.nsw.gov.au/ Aboriginal and/or Torres Strait Islander people are encouraged to apply.

Westmead hospital car parking allocation model is changing. There is a waitlist for parking for new staff commencing at Westmead Hospital. This does not apply for staff with disability.

Please note: A person who is not an Australian citizen or a permanent resident is only eligible for temporary employment for a period not longer than the duration of their current visa or a period not shorter than the duration of the advertised position.

Essential Criteria

Qualification: Masters of Medical Physics or equivalent Postgraduate Degree

Selection Criteria

Completion of an ACPSEM approved undergraduate science degree majoring in physics or an ACPSEM approved alternative discipline in the Physical Sciences with an excellent academic record
Completion of a specialist postgraduate degree, accredited by the ACPSEM as satisfying the requirements for Certification in Nuclear Medicine Medical Physics.
Demonstrated ability to produce work to a high professional standard
Demonstrated, well-developed analytical and organisational skills. Highly developed and demonstrated interpersonal, written and electronic communication skills
Demonstrated experience in data analysis and at least one programming language.
Be willing to work irregular hours (early or late) at times

Need more information?
2) Find out more about applying for this position
For role related queries or questions contact David Skerrett on David.Skerrett@health.nsw.gov.au
Applications Close: 26th January 2021",MYR,160.3992,111.04080000000002,AUD,51.41,35.59,: $35.59 - $51.41 per hour,Medical Physics Registrar,https://au.indeed.com/viewjob?jk=0c96abb7cbd0df9c&from=serp&vjs=3,2021
"Herston – RBWH, Brisbane QLD",CSIRO,AU,"The Opportunity

Do you have experience with processing biomedical imaging datasets?
Carry out innovative and impactful research
Join CSIRO - Australia's premier science and technology research organisation

CSIRO’s Health and Biosecurity is seeking to appoint a Clinical Research Scientist – Neuropsychiatry Specialist.

As the successful candidate you will work along side world-class scientists and undertake research into health ageing and Alzheimer’s disease. You will conduct research using MR and PET imaging.

Your duties will include:

Carry out innovative, impactful research of strategic importance to CSIRO that will, where possible, lead to novel and important scientific and clinical outcomes.
Support the supervision of PhD students and vacation work students.
Design and conduct the research study, including data collection and analysis of existing and new data.

Location: Herston – RBWH, Brisbane QLD
Salary: AU$98k – AU$106k pro-rata, plus up to 15.4% superannuation
Tenure: Specified term of 3 years, part time
Reference: 70812

To be considered you will need:

A doctorate in a relevant discipline area, such as Neuroscience, Medical Imaging or Neuropsychology.
Experience in programming with Python, C++ and/or Matlab to customise important aspects of processing pipelines.
Minimum of 12 months experience processing biomedical imaging datasets for populations with neural injury and neurotypical controls.

For full details about this role please review the Position Description

Eligibility

The successful applicant will be required to obtain and provide a National Police Check or equivalent.

Flexible Working Arrangements

We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance

Diversity and Inclusion

We are working hard to recruit diverse people and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish. Diversity and Inclusion Strategy

We are committed to the safety and wellbeing of all children and young people.

About CSIRO

At CSIRO, Australia's national science agency, we solve the greatest challenges through innovative science and technology.

Join us and start creating tomorrow today!

How to Apply

Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.

Applications Close

Sunday 31 January 2020, 11:00 pm AEDT",MYR,27560.000000000004,25480.0,AUD,8833.333333333334,8166.666666666667,"$98,000 - $106,000 a year",Clinical Research Scientist - Neuropsychiatry Specialist (Part Time),https://au.indeed.com/viewjob?jk=abc8e74ea96c07d8&from=serp&vjs=3,2021
"Environment, Energy and Science",,AU,"Ongoing opportunity
Flexible working conditions, based in Parramatta, Queanbeyan, Coffs Harbour, Dubbo, Newcastle (or elsewhere by negotiation)
Salary starts at $93,326 + super

The Biodiversity Conservation Trust (BCT) has an exciting opportunity for a spatial information specialist to use their skills to help manage and conserve biodiversity on private land in NSW. The role provides technical support, coordination and advice to staff across the organisation. Activities may include GIS analysis, data management, map production, troubleshooting, training and input into development of systems, tools and procedures.

The Technical Services Officer is part of a central group that play a key role in on-ground delivery of conservation initiatives, strategic planning, decision support and policy development.

Essential Requirements

Tertiary qualifications and/or experience in data management principles within a geodatabase, including schema development and management, building models and scripts to help manage data in accordance within defined standards.
Extensive experience with both raster and vector based geographical information systems including ESRI products and experience in the use and management of environmental and natural resources data.

For more information on the role, read the full Role Description here.

To be successful in the role, ideally you will have:

Excellent communication skills to collaborate with and support geographically dispersed regional staff and document procedures and metadata.
Experience with geodatabases, models and scripts to automate data processing, and tools for efficient data capture and management.
Strong problem solving and analytical skills with great attention to detail.
Experience of ArcGIS Desktop, ArcGIS Pro, ArcGIS Online and ESRI apps.
Knowledge of environmental or foundation spatial datasets in NSW would be an advantage.
Ability to work in an operational environment with timely and accurate delivery of outputs.

To Apply

Please submit your application to iworkfor.nsw.gov.au, including a copy of your resume and cover letter expressing your interest and suitability for the roles. The information provided in your application needs to show how you meet the focus capabilities and other essential requirements of the roles.

The following links are aimed at aiding your application submission:

Application Guide
Applying for a role in the NSW public sector

Applications close Sunday 31 January 2021 at 11:55PM.

Salary range from $93,326 to $103,113 + super.

Should you require further information about the role please contact Shawn Capararo on 02 9995 6540 or shawn.capararo@bct.nsw.gov.au.

If you have any enquiries regarding the recruitment process, please contact Ty Brennock on 0409 231 515 or ty.brennock@dpie.nsw.gov.au.

Agency Overview

The New South Wales Biodiversity Conservation Trust (BCT) is a not-for-profit statutory body, established under Part 10 of the Biodiversity Conservation Act 2016 and managed by a Board appointed by the Minister for the Environment. The Trust’s roles are to support and encourage landholders to enter into agreements to conserve and protect biodiversity on private land, guided by the government’s Biodiversity Conservation Investment Strategy; secure biodiversity offsets when developers choose to pay into the Biodiversity Conservation Fund; and other activities that promote greater awareness of, appreciation and understanding of, biodiversity and the importance of conserving it.

Our Commitment to Diversity & Flexibility

The Biodiversity Conservation Trust (BCT) strives to be an inclusive workplace for all people. We recognise that we operate in a diverse community and welcome and encourage applications from all ages and genders, Aboriginal and Torres Strait Islander peoples, culturally and linguistically diverse groups, the LGBTIQ+ community, veterans, refugees and those with disability.

We understand that flexibility means different things to different people and are committed to offering flexible work arrangements where and when possible.",MYR,26809.38,291177.12,AUD,8592.75,93326.0,"Salary range from $93,326 to $103,113 + super.",Technical Services Officer,https://au.indeed.com/viewjob?jk=0c415658a5def9b5&from=serp&vjs=3,2021
Canberra ACT,Australian Criminal Intelligence Commission (ACIC),AU,"The Australian Institute of Criminology (AIC) is Australia’s national research and knowledge centre on crime and justice, compiling trend data and disseminating research and policy advice. The AIC informs crime and justice policy and practice in Australia by undertaking, funding and disseminating policy-relevant research of national significance.

The AIC is closely aligned with the Australian Criminal Intelligence Commission (ACIC). Employees of the AIC are also employees of the ACIC. The AIC operates under separate legislation and remains a separate entity closely aligned with the ACIC.

The Research Manager is required to:

Maintain and enhance the AIC’s statistical collections on crime and justice issues
Develop a program of statistical outputs, in consultation with key Commonwealth stakeholders
Manage a team undertaking projects on a range of crime and justice issues
Manage the outputs of the team, ensuring peer review standards are maintained and KPIs achieved
Work collaboratively with other Research Managers to ensure the statistical collections are used in support of research projects
Provide leadership across the Australian Institute of Criminology (AIC)

Applicants for this position are expected to have postgraduate qualifications in criminology, law or a relevant social science. A doctoral qualification in an area relevant to the AIC’s research program is desirable.

Contact Officer: Rick, 02 6268 7485

The ACIC is committed to diversity and inclusion. We welcome applications from Aboriginal and Torres Strait Islander peoples, women, people with disability, people from culturally and linguistically diverse backgrounds, those who identify as LGBTIQ, mature aged employees and carers.

This is a position of trust. The occupant must satisfy and abide by the ACIC’s security requirements, which include Australian citizenship. The occupant must also satisfy a rigorous security assessment by the Australian Government Security Vetting Agency and is required to gain and maintain an NV1 clearance. In assessing suitability for employment the ACIC conducts a pre-employment screening process. This requires the applicant to complete a pre-employment screening form for the purpose of character and background checking, and a psychological assessment.",MYR,37225.76,33040.020000000004,AUD,11931.333333333334,10589.75,"Salary: $127,077 - $143,176 p.a. plus superannuation","EL2 Research Manager, Canberra",https://au.indeed.com/viewjob?jk=e9a205f3724d4c64&from=serp&vjs=3,2021
"Sydney, NSW",University of New South Wales,AU,"Job no: 501017
Work type: Part-time
Location: Sydney, NSW
Categories: Post doctoral research fellow

School of Women’s and Children’s Health, UNSW

Part time (14 hours/week) Fixed term for 24 months
Salary: level A ($78K-104K) Plus 17% superannuation and leave loading
Sydney based

The School of Women’s & Children’s Health (SWCH) is comprised of the clinical disciplines of Obstetrics & Gynaecology and Paediatrics, and the National Perinatal Epidemiology Statistics Unit (NPESU). The Perinatal Imaging Research Group (PIRG) in the school is a multidisciplinary team of medics (obstetrical and neonatal) and engineers (biomedical engineering and computer science) working with raw ultrasound data to devise new ways to evaluate the fetus and neonate. The team is seeking to appoint a Research Associate who will be responsible for providing specialised ultrasound scanning skills and research assistance to the Professor of Maternal Fetal Medicine in activities associated with a research focus in the area of fetal doppler evaluation.

This will include the contribution and application of knowledge in the field of maternal fetal medicine to develop novel ultrasound/Doppler imaging techniques for the human fetus to a range of projects conducted within the Perinatal Imaging Research Group.

Skills and Experience

A PhD in a related discipline, and/or relevant work experience Qualified and hold current accreditation with ASUM or ASAR as a registered Sonologist
Proven ability to perform basic ultrasound scanning, including biometric measurement and at least limited morphological and Doppler assessment prior to commencing is essential
Proven commitment to proactively keeping up to date with discipline knowledge and developments.
Demonstrated ability to undertake high quality academic research and conduct independent research with limited supervision
Demonstrated track record of publications and conference presentations relative to opportunity
Demonstrated ability to work in a team, collaborate across disciplines and build effective relationships
Evidence of highly developed interpersonal skills
Demonstrated ability to communicate and interact with a diverse range of stakeholders and students

You must have full Australian work rights for the duration of the position. You should systematically address all the selection criteria (skills and experience section of the PD) found in the position description.

PD-Research Associate 501017.pdf

Contact: Alec Welsh, Professor

E: alec.welsh@unsw.edu.au

Applications Close: 26 January 2021

Position Description

Advertised: 13 Jan 2021 AUS Eastern Daylight Time
Applications close: 26 Jan 2021 AUS Eastern Daylight Time",MYR,27040.0,20280.0,AUD,8666.666666666666,6500.0,"$78,000 - $104,000 a year",Research Associate,https://au.indeed.com/viewjob?jk=e8279847736651e0&from=serp&vjs=3,2021
Herston - RBWH,Follow,AU,"The Opportunity

Are you experienced in modern DevOps practices?
Excellent opportunity to work in a leading scientific institution with dedicated professionals
Join CSIRO – Australia’s premier science & technology research organisation

The Australian E-Health Research Centre (AEHRC - http://aehrc.com/) is a world class centre undertaking research and development across health and biomedical informatics and health services.

We are seeking to appoint a highly motivated technical consultant in our Health Data on FHIR team to support our world-class FHIR terminology tools.

As the successful candidate you will make a hands-on contribution to delivering software that can be used across multiple projects in an increasingly information-based industry. Your research into will have a high impact on both Australian and international e-Health programs.

Your duties will include:

Work with clients and CSIRO researchers and software engineers in developing software and solutions to tackle issues in the collection, integration and analysis of clinical and other health data.
Develop and maintain high quality software in accordance with industry best practice and organisational guidelines.
Contribute to the management and administration of operational business systems, web sites and associated infrastructure.

Location: Herston - RBWH
Salary: AU$113k – AU$132k plus up to 15.4% superannuation
Tenure: Indefinite
Reference: 70856

To be considered you will need:

Knowledge and skills gained through tertiary qualifications or equivalent in a relevant discipline such as Computer Science or equivalent field.
Significant experience in delivering and operating production systems for clients.
Experience in testing, deploying, scaling, monitoring and operating modern cloud-based services with RESTful APIs.
Experience with container-based deployment using Kubernetes or equivalent on cloud-based hosting services such as AWS and Azure.

For full details about this role please view the Position Description

Eligibility

The successful applicant will be required to obtain and provide a National Police Check or equivalent.

Flexible Working Arrangements

We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance

Diversity and Inclusion

We are working hard to recruit diverse people and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish. Diversity and Inclusion Strategy

We are committed to the safety and wellbeing of all children and young people.

About CSIRO

At CSIRO, Australia's national science agency, we solve the greatest challenges through innovative science and technology.

Join us and start creating tomorrow today!

How to Apply

Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.

Applications Close

Sunday 31 January 2021, 11:00 pm AEDT",MYR,34320.0,29380.0,AUD,11000.0,9416.666666666666,"$113,000 - $132,000 a year",DevOps - FHIR Terminology Services,https://au.indeed.com/viewjob?jk=6e0d682a6a49d473&from=serp&vjs=3,2021
South Brisbane,Mater Health,AU,"Job no: 493562
Work type: Fixed Term
Location: South Brisbane
Categories: Information Technology

About the role

Mater Group is currently seeking a Senior Integration Specialist to join our Digital Solutions team in a full-time capacity for one year.

The role is responsible for the optimal and effective use of Mater IT project resources (including permanent staff, contractors and 3rd party vendor resources) by ensuring the availability and performance of the technical resources assigned to projects and initiatives.

Salary range: $58.22-$62.38 (MCA Level 7) per hour plus superannuation

What you’ll be doing

You will be required to develop and maintain a set of project resource types, responsibility matrices, capability models, required skills and abilities mapped to projects' and programs' life cycles, organisational support activities, methods and practices, and approaches to implementation.

Develop & assist towards developing technical design for integration projects.
Develop and maintain resource management tools (program and portfolio management tools) a framework to track (over time) individual assignments/role assignments to specific projects, programs and other structured work activities.
Take the lead role in the overall co-ordination and facilitation of the efficient and timely recruitment and employment of IT Technical project team members within IT EAIT team.
Review and quality assess outputs from all IT project team members.
Lead the collaborative, dynamic planning process - prioritising the work that needs to be done against the capacity and capability of the team
Maintain up-to-date knowledge of technology trends and directions.
Define and use a resource request and assignment process that receives, analyses and offers available resources (together with data about their individual capabilities and recent project performance history) for selection by requesting that project and program (and sometimes line) managers.
Maintain and make visible various timely and accurate analyses of the current and projected states of assignment, consumption and availability of all Mater resources with the abilities and skills appropriate for work on projects and programs.
Provide management and leadership on IT wide resource reports and advisories that are timely and accurate to support governance activities around the selection, prioritisation, strategic and organisational planning, and execution oversight of projects and initiatives.
Resolve conflicting/competing resource requirements and needs among requesters. Offer alternatives to first-cut resource requests and/or external resource providers. As needed, escalate conflicts to leadership for decisions and actions.
Work to highlight and facilitate the changes needed in policy and practice that cause functional managers to limit or hold resources to address operational needs — when confronted with demands to provide staff members to support new and ongoing projects and programs.
Collaborate with Mater leaders to maintain future oriented workforce management activities to forecast growing (or shrinking) project resource numbers, the need for new and changed capabilities and skill sets, and/or the decline in use of current capabilities and skills.

About you

To be successful in this position, you will have a minimum of five years’ service delivery experience in an enterprise integration but not limited to the following technologies: HL7, REST, FHIR, SOAP, Microsoft Azure Administration / Integration, DEVOPS – Code repositories, Pipelines.

You will also possess:

A tertiary undergraduate degree in computer science, or a related study, or equivalent experience.
Tertiary qualifications in business management, leadership, organisational change or similar field is desirable.
Recognised certification in project management is desirable.
Demonstrated vendor management experience.
Demonstrated leadership capability with a minimum of three years of leadership experience.
Demonstrated experience in budget planning, financial management and workforce management.
Healthcare information technology hands on experience is highly desirable.
Hands on experience in Intersystems product suite – Health Share, IRIS, HSPI is highly desirable.
High levels of both written and verbal communication skills.

Previous experience in a healthcare setting is highly desirable.

Why join us?

In return for your skills, effort and enthusiastic commitment you will have the opportunity to work for an Australian leader in the field of Health, Education and Research and work with a team who make a real difference to the lives of our patients, consumers and community.

Mater provides benefits not offered in other workplaces. In addition to being part of a workplace that offers compassionate care in the spirit of the Sisters of Mercy, you will have opportunities to increase your take-home pay with our salary packaging options.

Closing date for applications is Thursday 28 January 202.

For further information, please contact Anand Veeramallu, Senior Manager, Development, Integration & Automation, on 07 3163 1869.

Advertised: 15 Jan 2021 E. Australia Standard Time
Applications close: 28 Jan 2021 E. Australia Standard Time",MYR,194.62560000000002,181.6464,AUD,62.38,58.22,$58.22 - $62.38 an hour,Senior Integration Specialist,https://au.indeed.com/viewjob?jk=e20ca4e234980adf&from=serp&vjs=3,2021
Clayton VIC,Monash University,AU,"The Opportunity

The Faculty of Medicine, Nursing & Health Sciences is the University's largest research faculty. Excellent researchers work across disciplines including laboratory‑based medical science, applied clinical research, and social and public health research. The Faculty is home to a number of leading medical and biomedical research institutes and groups and has contributed to advances in many crucial areas. Our expertise in life sciences and biomedicine is recognised both nationally and internationally. From a teaching perspective, our education curriculum covers a range of disciplines, including medicine, nursing, radiography & medical imaging, nutrition & dietetics, paramedic studies, biomedical sciences, physiotherapy, occupational therapy, behavioural neurosciences and social work. We take pride in delivering an outstanding education in all courses, in opening students to the possibilities offered by newly discovered knowledge and in providing a nurturing and caring environment.

To learn more about the Faculty, please visit www.monash.edu.au/medicine.

The Faculty of Medicine, Nursing & Health Sciences Faculty Office is seeking to appoint a Research and Graduate Research Projects Coordinator who will be responsible for driving the development, implementation and coordination of specialised projects and strategic initiatives within the faculty’s research and graduate research portfolios.

As the successful candidate, you will be responsible for delivering quality, timely and expert advice to support the Director, Research and Graduate Research and other senior leaders within the faculty. This will include staff training, development and ongoing advice to implement best practice, software and systems. In addition, you will undertake a range of activities in support of the faculty research office including preparing reports and documentation, pre-award grant proposal development, high-level graduate research initiatives and promotional activities, and data analysis and reporting on research and graduate research performance measures.

To be successful in this role you will have:

Experience in developing, implementing and coordinating specialised projects with measurable impact
Demonstrated relationship management skills and consulting skills including the ability to interact and negotiate with a variety of customers and stakeholders
Analytical, research and problem-solving skills and the ability to identify and recommend solutions to challenging issues
Knowledge of university policies and procedures pertaining to postgraduate and research degree students, along with experience with Enterprise Resource Planning (ERP) systems and demonstrated ability to learn and adapt to new systems

If this sounds like a position that suits your current career focus we look forward to hearing from you.

This role is a part-time (0.8) position; however, flexible working arrangements may be negotiated.

At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check.

Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"".

Enquiries

Dr Svetozar Kovacevic, Director, Research and Graduate Research, +61 3 9905 2909

Position Description

Research & Graduate Research Projects Coordinator

Closing Date

Sunday 24 January 2021, 11:55pm AEDT

Supporting a diverse workforce",MYR,25378.34,23138.440000000002,AUD,8134.083333333333,7416.166666666667,"$88,994 - $97,609 a year",Research & Graduate Research Projects Coordinator,https://au.indeed.com/viewjob?jk=7cef674fd87e93a2&from=serp&vjs=3,2021
Melbourne VIC,Environment Protection Authority,AU,"For nearly 50 years, EPA Victoria (EPA) has helped make our state a healthier, more liveable place.

As Victoria’s environmental regulator, we set and enforce environmental standards to help ensure all Victorians can enjoy clean air, healthy waterways and pollutant-free land.

To achieve the best possible environmental outcomes for Victoria, we’re increasingly shifting our focus from minimising the effects of environmental harm, to preventing it from happening in the first place.

To help us achieve this, we’re now recruiting. By working at EPA you can enjoy a meaningful career with great work-life balance, while building a better future for our environment.

About the role:

The Information Security Specialist role will contribute their professional, specialist and technical skills to ensure agreed EPA Information security program, operations and initiatives are successfully delivered.

This role will report to the CISO and will be primary responsibilities for delivering the Information Security Program, IT Security Operations and Governance, Risk and Compliance activities associated with the information security function.

Both EPA as a whole and the IT unit, are currently undertaking multi-year transformation programs. The Information Security Specialist will work closely with transformation project teams, solution architects and teams within IT to propose and validate systems security design to EPA's security requirements. The role will ensure compliance with the Victorian Protective Data Security Standards (VPDSS). The role also provides technical direction for the performance of security-related activities in existing operational systems managed by several teams.

This role will need ad-hoc out-of-business hours and weekend work engagement on needed basis

About You:

To be successful in this role you will need the following qualifications and/or experience.

Tertiary qualifications in information technology, computer science, information systems and/or equivalent work experience
Can obtain a security clearance to the required classification
One or more of industry certifications such as Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), Certified Information Systems Auditor (CISA) or Sherwood Applied Business Security Architecture (SABSA), ISO 27001/2 standard etc.
A good understanding of Victorian and Federal government regulations and guidelines relating to information and cyber security. (e-g VPDSS, Australian Government ISM)
Proven track record and experience in leading information security function, security program, or security operations for an enterprise business
Minimum of five years' experience in information security specific roles.
Demonstrated experience in execution of programs that meet the objectives of information and cyber security
Demonstrated technical expertise in managing security platforms and tools, including experience in SOC and security incident response
Proven experience in security solution design for large and complex enterprise projects

How to Apply:

Applicants are invited to apply online via EPA Career Services. Please click the apply button at the bottom of the page. Attachments can be uploaded in doc. Docx. Pdf, txt or rtf. Forms.

Applicants, please attend to the following:

Cover letter: not required
Resume (attach): including contact details of two referees

Applications close midnight on 25 January 2021. For further information on this role, please refer to the attached position description.

All queries in relation to this role should be directed to Vijay Narayan on vijay.narayan@epa.vic.gov.au / (03) 9194 5391 .

Preferred candidates will be required to complete a Pre-employment Declaration and Consent form. Employment of successful candidates will be subject to a National Police Check.

Individual responses to key selection criteria listed on the Position Description are not required.",MYR,43155.58,37702.6,AUD,13831.916666666666,12084.166666666666,"Salary: $145,010 - $165,983",Information Security Specialist (VPSG6.2),https://au.indeed.com/viewjob?jk=d58c34a11b533fbe&from=serp&vjs=3,2021
Perth WA,Curtin University of Technology,AU,"2x positions available
$71,230 - $101,079 (ALA-ALB.1) plus 17% superannuation
3 year fixed term contract

Research Associate - Two positions available
$71,230 - $101,079 plus 17% superannuation
3 year fixed term contract

School of Electrical Engineering, Computing and Mathematical Sciences (EECMS)

F ormed in 2017, our school brings together Curtin’s core capabilities across electrical engineering,
computing, physics and mathematics, to better understand and advance our data-driven world. The School has built substantial knowledge in machine learning, cyber security, statistics and optimisation, digital transformation, radio astronomy, the internet of things, signal processing, embedded systems, renewable and power engineering.

CURTIN-CISCO Centre for Networks

Based within the School of EECMS, Cisco and Curtin University have announced investment in a new research centre, the Centre for Networks, focused on advancing networking technology. The Centre is an element of Cisco’s recently announced Country Digital Acceleration investment in the Australian market. Researchers at Curtin will undertake research to support industries that require a new approach to networking. Curtin researchers at the Centre for Networks will use the network as a platform to develop a new generation of applications. The emergence of the Internet of Things (IoT) represents an opportunity for intent-based networking to accelerate transformation across industries like education, health, mining, defence and government., These industries face a unique challenge in converging their IT and operational networks. Researchers will seek to understand how to address these challenges and develop applications to help organisations tackle IoT.

Your new role

An exciting and rare opportunity exists for two enthusiastic and innovative Research Associates to join a strong team working to support the fast growth of the laboratory on future Internet technologies. Please see essential requirements for each role below:

Position 1: Research Associate – ML for Networks

The successful applicant will carry out research, software and algorithm development as well as experimental work in the following fields:

Applied ML on programmable networks
ML for resource network handling and control
Applied ML on multi-access and mobile edge computing
ML for Network Function Virtualization (NFV) and NFV Management and orchestration (MANO)
ML for 5G/IoT multi-technology network ecosystem convergence

Essential criteria (selection criteria)

PhD in networks or communications
Experience in applied ML and AI & Networking protocols and architectures
Competency and experience in programming an object-oriented language (preferably Python, Java
Knowledge of networking protocols and architectures
Good understanding of Understanding of ML/AI landscape
Feature extraction/training/parameter tuning
Solid background on Neural Networks (NNs)
Solid background on Reinforcement Learning (RL) with Q-Learning
Competency in clustering and categorisation algorithms

Position 2: Research Associate - Network Orchestration
The successful applicant will carry out research, software and algorithm development as well as experimental work in the following fields:

Network infrastructure virtualization
Network Function Virtualization (NFV)
NFV Management and orchestration (MANO)
5G/IoT multi-technology network ecosystem convergence and development
Multi-Access and Mobile Edge computing (MEC)
Container based architecture for networking

Essential criteria (selection criteria)

PhD in networks or communications
Experience in network control plane , network virtualization and NFV and software defined networks
Competency and experience in programming an object-oriented language (preferably Python, Java
Competency in container based architecture
Solid background on networking protocols and architectures
Good knowledge of container orchestration systems
Good knowledge of principles and tools for NFV MANO

***Please review the attached Academic Role statements under the “next steps” section below for a full description on each role***

Next steps

Please apply on-line with a cover letter, resume and separate document addressing the selection criteria to enable us to assess your suitability for the role. The selection criteria can be found under the section “Essential Critiera” outlined above. If you require reasonable accommodation to participate in the recruitment process please advise in your cover letter.

To view a copy of Curtin University's standard academic role statement relevant to the level of the role you are applying for, please copy and paste the following link into your browser. Please note it is not a requirement to address the criteria outlined in the documents below.

https://cloudstor.aarnet.edu.au/sender/?s=download&token=64aded91-a3ba-47ec-9997-dd9f3c164483

Applications close: Tuesday 9th February 2021, 9:00PM AWST

Please note, screening and interviews may take place prior to the advertised close date.

Contact details

If you have a query in relation to the application process please contact our careers team on curtincareers@curtin.edu.au or call Natalie Munro on 08 9266 2280.

Inclusion and Diversity at Curtin

We are committed to ensuring that Curtin has an inclusive environment, free from harassment, in which all students, staff and the community feel respected, valued and welcome.

We encourage applications from Aboriginal and Torres Strait Islander people, people with disability, women, and people from culturally and linguistically diverse backgrounds, and are committed to making reasonable adjustments to enable people with disability to participate fully in our recruitment, selection and appointment processes.

Disclaimer

Curtin reserves the right at its sole discretion to withdraw from the recruitment process, not to make an appointment, or to appoint by invitation, at any time. We reserve the right to remove the advert earlier than the date on the advert.",MYR,53.04,222237.6,AUD,17.0,71230.0,"$71,230 - $101,079 plus 17% superannuation",Research Associate,https://au.indeed.com/viewjob?jk=1262c287892cbca0&from=serp&vjs=3,2021
